,datetime,open,high,low,close,volume
0,2019-09-08 12:00:00,10000.0,10412.65,10000.0,10391.63,3096.291
1,2019-09-09 00:00:00,10316.62,10475.54,10077.22,10414.6,5910.723
2,2019-09-09 12:00:00,10411.7,10420.65,10183.31,10307.0,8913.65
3,2019-09-10 00:00:00,10307.0,10382.97,10206.87,10254.56,4662.539
4,2019-09-10 12:00:00,10252.7,10270.58,9940.87,10102.02,4406.416
5,2019-09-11 00:00:00,10094.27,10293.11,9884.31,10070.53,3826.149
6,2019-09-11 12:00:00,10062.34,10184.66,9934.11,10159.55,7071.773
7,2019-09-12 00:00:00,10163.06,10205.46,10042.12,10170.93,7738.435
8,2019-09-12 12:00:00,10170.0,10450.13,10170.0,10415.13,7871.199
9,2019-09-13 00:00:00,10414.96,10440.55,10251.99,10306.52,9417.259
10,2019-09-13 12:00:00,10306.52,10355.85,10153.51,10341.34,9835.462
11,2019-09-14 00:00:00,10343.01,10353.72,10259.75,10291.93,9608.47
12,2019-09-14 12:00:00,10292.13,10419.97,10222.77,10332.25,11048.154
13,2019-09-15 00:00:00,10333.47,10359.2,10024.81,10296.63,9808.772
14,2019-09-15 12:00:00,10296.54,10332.61,10252.28,10302.22,10727.483
15,2019-09-16 00:00:00,10302.0,10353.81,10275.74,10282.74,9735.073
16,2019-09-16 12:00:00,10282.03,10329.38,10080.7,10249.27,10450.564
17,2019-09-17 00:00:00,10257.3,10261.36,10136.77,10163.0,11200.586
18,2019-09-17 12:00:00,10162.7,10270.63,10151.62,10186.52,11319.021
19,2019-09-18 00:00:00,10183.87,10256.65,10150.0,10156.12,10262.499
20,2019-09-18 12:00:00,10156.7,10212.25,10097.92,10155.16,10570.396
21,2019-09-19 00:00:00,10154.7,10185.55,9530.02,9856.5,12408.707
22,2019-09-19 12:00:00,9856.5,10331.62,9845.11,10245.3,13820.047
23,2019-09-20 00:00:00,10247.7,10279.3,10121.3,10173.72,11391.71
24,2019-09-20 12:00:00,10172.45,10236.19,10070.5,10166.35,11874.2
25,2019-09-21 00:00:00,10166.56,10175.3,9963.02,10046.6,12303.605
26,2019-09-21 12:00:00,10046.6,10067.0,9912.63,9983.33,11338.782
27,2019-09-22 00:00:00,9992.7,10089.52,9857.0,10001.83,12107.998
28,2019-09-22 12:00:00,10000.53,10073.46,9932.01,10023.04,11808.356
29,2019-09-23 00:00:00,10027.69,10046.91,9878.51,9915.09,12034.668
30,2019-09-23 12:00:00,9914.11,9951.05,9620.0,9701.96,19892.394
31,2019-09-24 00:00:00,9701.1,9792.83,9603.5,9726.09,10870.862
32,2019-09-24 12:00:00,8683.2,8689.49,8645.61,8645.61,10.814
33,2019-09-25 00:00:00,8493.32,8725.24,8200.0,8327.38,23587.568
34,2019-09-25 12:00:00,8324.27,8628.44,8223.71,8430.07,24634.534
35,2019-09-26 00:00:00,8428.15,8464.4,8316.61,8387.08,10920.141
36,2019-09-26 12:00:00,8387.0,8438.88,7700.67,8060.15,49145.804
37,2019-09-27 00:00:00,8061.98,8128.78,7940.37,7988.08,14953.35
38,2019-09-27 12:00:00,7984.71,8260.0,7851.94,8176.52,25081.303
39,2019-09-28 00:00:00,8178.26,8243.54,8120.02,8133.23,9959.343
40,2019-09-28 12:00:00,8132.68,8311.0,8001.14,8195.38,23861.576
41,2019-09-29 00:00:00,8199.0,8226.35,8031.34,8073.12,12764.081
42,2019-09-29 12:00:00,8072.89,8127.06,7888.98,8041.96,23201.975
43,2019-09-30 00:00:00,8042.08,8094.48,7709.01,8034.78,31746.761
44,2019-09-30 12:00:00,8033.48,8331.89,7982.08,8285.84,22665.759
45,2019-10-01 00:00:00,8285.31,8499.0,8171.0,8353.0,16380.243
46,2019-10-01 12:00:00,8350.14,8494.49,8225.03,8290.0,22832.561
47,2019-10-02 00:00:00,8290.0,8325.4,8149.35,8255.57,13254.104
48,2019-10-02 12:00:00,8256.32,8365.92,8177.29,8352.14,17075.075
49,2019-10-03 00:00:00,8353.4,8386.0,8184.91,8215.26,12766.12
50,2019-10-03 12:00:00,8215.49,8274.59,8020.0,8220.27,20664.11
51,2019-10-04 00:00:00,8219.95,8227.42,7979.95,8145.01,16124.256
52,2019-10-04 12:00:00,8146.18,8208.88,8117.04,8130.56,12296.855
53,2019-10-05 00:00:00,8130.0,8144.44,8066.0,8077.76,13913.264
54,2019-10-05 12:00:00,8077.75,8175.0,8010.0,8122.14,16348.742
55,2019-10-06 00:00:00,8122.01,8148.43,7859.03,7937.72,21202.268
56,2019-10-06 12:00:00,7935.35,8045.51,7760.0,7852.79,20706.771
57,2019-10-07 00:00:00,7851.01,8225.0,7764.42,7975.99,29376.782
58,2019-10-07 12:00:00,7975.51,8330.0,7975.2,8186.88,33383.517
59,2019-10-08 00:00:00,8188.55,8322.01,8132.27,8177.48,23505.799
